Identifiant,Nom,Type,Adresse,Code postal,Commune,latitude,longitude,Accès transports en commun,Informations complémentaires,Gardien,Jeux pour enfants,Pataugeoire,Sanitaires,Sanitaires pour handicapés,Chiens autorisés,Jardin clos,Abris,Point d'eau,Table pique-nique,,,,,,,,
4594,Square Proust Bergson,Parc,Rue Henri Bergson,44300,Nantes,47.254384826,-1.570838214,http://www.jardins.nantes.fr,Ligne C2 Bout des Pavés,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4587,Square Félix Thomas,Parc,Rue Toulmouche,44000,Nantes,47.230985553,-1.553230918,http://www.jardins.nantes.fr,Ligne 2 St Félix,,NON,OUI,NON,NON,OUI,NON,OUI,NON,NON,NON,,,,,,,
4591,Square Saint François,Parc,Rue Saint François,44000,Nantes,47.218214628,-1.545475581,http://www.jardins.nantes.fr,Duchesse Anne-Chateau Ligne 1,,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,,,,,,,
3213,Square Louis Bureau,Parc,Place de la Monnaie,44000,Nantes,47.213007594,-1.565112171,http://www.jardins.nantes.fr,Ligne C3 Copernic,,NON,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,,,,,,,
3222,Square Jules Bréchoir,Parc,Rue Jules Bréchoir,44000,Nantes,47.225246573,-1.522567572,http://www.jardins.nantes.fr,Toutes Aides 58 A 75 82 92 - Bd de Doulon Ligne 1,,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,,,,,,,
4087,Parc de l'Amande,Parc,Rue Eugène Thomas,44300,Nantes,47.262856242,-1.570989823,,,,,,,,,,,,,,,,,,,,
4578,Square Jean Heurtin,Parc,Square Jean Heurtin,44000,Nantes,47.214941161,-1.544728149,http://www.jardins.nantes.fr,Ligne 1 Duchesse Anne Château ou ligne C3 Lieu Unique,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4586,Square Saint Pasquier,Parc,Place Emile Fritsch,44000,Nantes,47.228755748,-1.566077293,http://www.jardins.nantes.fr,Ligne C2 Le Goffic,,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,,,,,,,
1020,Parc du Grand Blottereau,Parc,Boulevard Auguste Péneau,44300,Nantes,47.228394783,-1.510025785,http://www.jardins.nantes.fr,Tramway Ligne 1 ou bus lignes 12 58 75 82 92,Canna, plantes tropicales,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,,,,,,
1521,Square du Maquis de Saffré,Parc,Rue Sully,44000,Nantes,47.222259455,-1.552084829,http://www.jardins.nantes.fr,Ligne 2 Saint Mihiel,,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
4787,Jardin des 5 sens,Parc,Rue Gaëtan Rondeau,44200,Nantes,47.207163534,-1.533640326,http://www.jardins.nantes.fr,Ligne 1 Duchesse anne château / Ligne 4 Ile de Nantes,,NON,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,NON,,,,,,,
4595,Parc du Petit Port,Parc,Boulevard des Tribunes,44300,Nantes,47.245503012,-1.558412555,http://www.jardins.nantes.fr,Ligne C2 Pont du Cens ; Ligne 25 Hippodrome,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,,,,,,,
1017,Parc de la Chantrerie,Parc,95 Route de Gachet,44300,Nantes,47.286413177,-1.524379919,http://www.jardins.nantes.fr,Ligne 2 Place du cirque / Ligne C6 Grandes Ecoles,,NON,OUI,NON,OUI,OUI,OUI,NON,OUI,NON,OUI,,,,,,,
1598,Square des Martyrs Irlandais,Parc,Rue de l'Adour,44100,Nantes,47.207947861,-1.610185329,http://www.jardins.nantes.fr,Romain Rolland Ligne 1,,NON,OUI,NON,NON,OUI,OUI,OUI,NON,OUI,NON,,,,,,,
4603,Jardin des Farfadets,Parc,Allée de Portricq,44300,Nantes,47.26691362,-1.521506652,http://www.jardins.nantes.fr,Ligne 2 Place du cirque / Ligne C6 Portricq,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4418,Jardin Mabon,Parc,Quai François Mitterrand,44200,Nantes,47.207524454,-1.559628221,http://www.jardins.nantes.fr,Ligne 1 Chantiers Navals,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,OUI,,,,,,,
3209,Belvédère Sainte Anne,Parc,Rue de l'Hermitage,44100,Nantes,47.201451818,-1.57758802,,,,,,,,,,,,,,,,,,,,
1344,Parc de la Boucardière,Parc,54 Rue de l'Abbaye,44100,Nantes,47.201152748,-1.597659156,http://www.jardins.nantes.fr,Bois Hardy Ligne 25 Gare de chantenay Ligne 81,,NON,OUI,NON,NON,NON,OUI,OUI,NON,OUI,NON,,,,,,,
3217,Square Gustave Roch,Parc,22 Boulevard Gustave Roch,44200,Nantes,47.205091544,-1.54996601,http://www.jardins.nantes.fr,Wattignies Lignes 2 ; 3,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1513,Square Amiral Halgand,Parc,Place de l'Hôtel de Ville,44000,Nantes,47.217388806,-1.554488382,http://www.jardins.nantes.fr,Hôtel de Ville Lignes 11 12 21 22 23 C LU,,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,,,,,,,
4506,Square Louis Feuillade,Parc,Rue Jacques Feyder,44100,Nantes,47.230433767,-1.585486985,http://www.jardins.nantes.fr,Ligne 54 Petit Carcouet,,NON,OUI,OUI,OUI,NON,NON,OUI,NON,NON,NON,,,,,,,
